clientId,timestamp,clientInitiatedDisconnect,disconnectReason,eventType,ipAddress,principalIdentifier,sessionIdentifier,versionNumber
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404472333,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,66bdcab1-2917-468a-a9e7-5c3a1be34030,32
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404578633,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,66bdcab1-2917-468a-a9e7-5c3a1be34030,32
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404591610,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,f5f98bea-c21e-4b02-9496-5726f3225ced,34
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404698633,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,f5f98bea-c21e-4b02-9496-5726f3225ced,34
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404711316,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,21e77c1b-1ea1-4612-9409-709ffa8c281c,36
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404817648,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,21e77c1b-1ea1-4612-9409-709ffa8c281c,36
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404831407,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,424c216b-b9d4-424d-95e4-39882ea97f3d,38
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404937648,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,424c216b-b9d4-424d-95e4-39882ea97f3d,38
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404951547,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,fa5ff943-8f6e-46ce-9a9d-017bf0195e3a,40
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709405058640,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,fa5ff943-8f6e-46ce-9a9d-017bf0195e3a,40
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709405071667,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,592d56a8-81fe-4cbb-97c9-e8a91586b683,42
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709405178642,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,592d56a8-81fe-4cbb-97c9-e8a91586b683,42
